highway,name,wkt_geom,category,geometry
residential,Krukmakargatan,"LINESTRING (18.050706100000003 59.3166379, 18.0485708 59.316369900000005)",Local & Neighborhood,"LINESTRING (18.050706100000003 59.3166379, 18.0485708 59.316369900000005)"
unclassified,Katarinavägen,"LINESTRING (18.0742586 59.319046500000006, 18.0743923 59.3190327, 18.075156200000002 59.318963600000004, 18.0754346 59.318936900000004, 18.075912600000002 59.3188953)",Local & Neighborhood,"LINESTRING (18.0742586 59.319046500000006, 18.0743923 59.3190327, 18.075156200000002 59.318963600000004, 18.0754346 59.318936900000004, 18.075912600000002 59.3188953)"
residential,Södermannagatan,"LINESTRING (18.0826512 59.309161800000005, 18.082678400000002 59.30910840000001, 18.0827114 59.3090436)",Local & Neighborhood,"LINESTRING (18.0826512 59.309161800000005, 18.082678400000002 59.30910840000001, 18.0827114 59.3090436)"
service,,"LINESTRING (18.101821 59.312736900000004, 18.1016313 59.3128151, 18.1014659 59.3128833)",Minor & Service,"LINESTRING (18.101821 59.312736900000004, 18.1016313 59.3128151, 18.1014659 59.3128833)"
service,,"LINESTRING (18.0274408 59.316490800000004, 18.0271495 59.3171789)",Minor & Service,"LINESTRING (18.0274408 59.316490800000004, 18.0271495 59.3171789)"
residential,Östgötagatan,"LINESTRING (18.0798436 59.307802900000006, 18.079800000000002 59.307889200000005)",Local & Neighborhood,"LINESTRING (18.0798436 59.307802900000006, 18.079800000000002 59.307889200000005)"
unclassified,Katarinavägen,"LINESTRING (18.0722615 59.3201899, 18.0722834 59.3201541)",Local & Neighborhood,"LINESTRING (18.0722615 59.3201899, 18.0722834 59.3201541)"
service,,"LINESTRING (18.0772827 59.3105611, 18.0773984 59.310346900000006, 18.077462500000003 59.310237, 18.077448500000003 59.310128500000005, 18.0775516 59.3098936)",Minor & Service,"LINESTRING (18.0772827 59.3105611, 18.0773984 59.310346900000006, 18.077462500000003 59.310237, 18.077448500000003 59.310128500000005, 18.0775516 59.3098936)"
residential,Bondegatan,"LINESTRING (18.093767200000002 59.31325330000001, 18.0935519 59.313282900000004)",Local & Neighborhood,"LINESTRING (18.093767200000002 59.31325330000001, 18.0935519 59.313282900000004)"
tertiary,Pålsundsbacken,"LINESTRING (18.032158000000003 59.3189786, 18.0322138 59.3189836, 18.032790900000002 59.319043900000004, 18.032896700000002 59.319066500000005, 18.032949300000002 59.319090800000005, 18.0330051 59.3191288, 18.0330802 59.319197800000005, 18.0331102 59.319232500000005, 18.0331325 59.319267100000005, 18.0331662 59.3193216, 18.0331873 59.31938040000001, 18.0331939 59.319419, 18.0331896 59.319455500000004)",Arterial & Major,"LINESTRING (18.032158000000003 59.3189786, 18.0322138 59.3189836, 18.032790900000002 59.319043900000004, 18.032896700000002 59.319066500000005, 18.032949300000002 59.319090800000005, 18.0330051 59.3191288, 18.0330802 59.319197800000005, 18.0331102 59.319232500000005, 18.0331325 59.319267100000005, 18.0331662 59.3193216, 18.0331873 59.31938040000001, 18.0331939 59.319419, 18.0331896 59.319455500000004)"
residential,Timmermansgatan,"LINESTRING (18.0602653 59.317848600000005, 18.060012 59.3183663, 18.0599734 59.318450500000004, 18.0599198 59.3185167)",Local & Neighborhood,"LINESTRING (18.0602653 59.317848600000005, 18.060012 59.3183663, 18.0599734 59.318450500000004, 18.0599198 59.3185167)"
service,,"LINESTRING (18.0886795 59.3119493, 18.0898548 59.3119224, 18.0903993 59.3118397, 18.0908067 59.311764200000006, 18.090979100000002 59.311749500000005)",Minor & Service,"LINESTRING (18.0886795 59.3119493, 18.0898548 59.3119224, 18.0903993 59.3118397, 18.0908067 59.311764200000006, 18.090979100000002 59.311749500000005)"
residential,Östgötagatan,"LINESTRING (18.0792401 59.3090009, 18.0791577 59.30916740000001)",Local & Neighborhood,"LINESTRING (18.0792401 59.3090009, 18.0791577 59.30916740000001)"
residential,Skånegatan,"LINESTRING (18.0810391 59.3124668, 18.080964100000003 59.312456600000004)",Local & Neighborhood,"LINESTRING (18.0810391 59.3124668, 18.080964100000003 59.312456600000004)"
residential,Malmgårdsvägen,"LINESTRING (18.090572400000003 59.309090100000006, 18.0907619 59.309009100000004)",Local & Neighborhood,"LINESTRING (18.090572400000003 59.309090100000006, 18.0907619 59.309009100000004)"
residential,Krukmakargatan,"LINESTRING (18.047908 59.3162912, 18.0485708 59.316369900000005)",Local & Neighborhood,"LINESTRING (18.047908 59.3162912, 18.0485708 59.316369900000005)"
living_street,Yttersta Tvärgränd,"LINESTRING (18.0502028 59.318675600000006, 18.0501344 59.318645100000005)",Pedestrian & Slow Zones,"LINESTRING (18.0502028 59.318675600000006, 18.0501344 59.318645100000005)"
residential,Ekermans Gränd,"LINESTRING (18.0532365 59.3128139, 18.053156400000002 59.3127853, 18.0529781 59.31272190000001)",Local & Neighborhood,"LINESTRING (18.0532365 59.3128139, 18.053156400000002 59.3127853, 18.0529781 59.31272190000001)"
residential,Hjalmar Cederströms Gata,"LINESTRING (18.0588036 59.3089073, 18.0587562 59.3087439, 18.058671800000003 59.308715600000006)",Local & Neighborhood,"LINESTRING (18.0588036 59.3089073, 18.0587562 59.3087439, 18.058671800000003 59.308715600000006)"
unclassified,Jägargatan,"LINESTRING (18.0528614 59.3091525, 18.053260100000003 59.3091024, 18.053322100000003 59.309048700000005, 18.053355200000002 59.309020000000004, 18.053357300000002 59.308873000000006)",Local & Neighborhood,"LINESTRING (18.0528614 59.3091525, 18.053260100000003 59.3091024, 18.053322100000003 59.309048700000005, 18.053355200000002 59.309020000000004, 18.053357300000002 59.308873000000006)"
residential,Barnängsgatan,"LINESTRING (18.096010500000002 59.3110645, 18.0964928 59.311945200000004)",Local & Neighborhood,"LINESTRING (18.096010500000002 59.3110645, 18.0964928 59.311945200000004)"
residential,Tullgårdsgatan,"LINESTRING (18.0863921 59.3060228, 18.085486 59.305809700000005)",Local & Neighborhood,"LINESTRING (18.0863921 59.3060228, 18.085486 59.305809700000005)"
living_street,Swedenborgsgatan,"LINESTRING (18.0638635 59.3161792, 18.063821700000002 59.316263500000005, 18.0635161 59.31689480000001, 18.0634878 59.3169509, 18.0631759 59.317581600000004)",Pedestrian & Slow Zones,"LINESTRING (18.0638635 59.3161792, 18.063821700000002 59.316263500000005, 18.0635161 59.31689480000001, 18.0634878 59.3169509, 18.0631759 59.317581600000004)"
residential,Swedenborgsgatan,"LINESTRING (18.0643965 59.3150241, 18.0642126 59.3154376, 18.0641828 59.315504700000005)",Local & Neighborhood,"LINESTRING (18.0643965 59.3150241, 18.0642126 59.3154376, 18.0641828 59.315504700000005)"
residential,Västgötagatan,"LINESTRING (18.0714255 59.3125622, 18.0713574 59.312565400000004, 18.071286800000003 59.312574500000004, 18.071171 59.3126145, 18.0711389 59.3126454, 18.0709382 59.3130722, 18.0708901 59.313168700000006)",Local & Neighborhood,"LINESTRING (18.0714255 59.3125622, 18.0713574 59.312565400000004, 18.071286800000003 59.312574500000004, 18.071171 59.3126145, 18.0711389 59.3126454, 18.0709382 59.3130722, 18.0708901 59.313168700000006)"
residential,Åsögatan,"LINESTRING (18.0697011 59.312349000000005, 18.068728 59.3122254)",Local & Neighborhood,"LINESTRING (18.0697011 59.312349000000005, 18.068728 59.3122254)"
residential,Krukmakargatan,"LINESTRING (18.0521716 59.316810000000004, 18.0514656 59.3167222)",Local & Neighborhood,"LINESTRING (18.0521716 59.316810000000004, 18.0514656 59.3167222)"
residential,Åsögatan,"LINESTRING (18.070938100000003 59.312522900000005, 18.070272600000003 59.3124279)",Local & Neighborhood,"LINESTRING (18.070938100000003 59.312522900000005, 18.070272600000003 59.3124279)"
service,,"LINESTRING (18.0639967 59.307437500000006, 18.0636522 59.30706850000001, 18.0639474 59.30697670000001)",Minor & Service,"LINESTRING (18.0639967 59.307437500000006, 18.0636522 59.30706850000001, 18.0639474 59.30697670000001)"
unclassified,Zinkens Väg,"LINESTRING (18.0516182 59.3149177, 18.051540300000003 59.314906, 18.050814600000002 59.3148008, 18.0504611 59.31475090000001, 18.0500233 59.3146975)",Local & Neighborhood,"LINESTRING (18.0516182 59.3149177, 18.051540300000003 59.314906, 18.050814600000002 59.3148008, 18.0504611 59.31475090000001, 18.0500233 59.3146975)"
service,Alfred Medins Väg,"LINESTRING (18.047477400000002 59.313816900000006, 18.047448000000003 59.3139107, 18.0474274 59.3140604, 18.047432800000003 59.31422190000001, 18.047487500000003 59.314340200000004)",Minor & Service,"LINESTRING (18.047477400000002 59.313816900000006, 18.047448000000003 59.3139107, 18.0474274 59.3140604, 18.047432800000003 59.31422190000001, 18.047487500000003 59.314340200000004)"
service,,"LINESTRING (18.057637 59.3156508, 18.057534800000003 59.3158754, 18.0575638 59.3159781, 18.057498900000002 59.3161233)",Minor & Service,"LINESTRING (18.057637 59.3156508, 18.057534800000003 59.3158754, 18.0575638 59.3159781, 18.057498900000002 59.3161233)"
service,,"LINESTRING (18.0526822 59.320137300000006, 18.0532215 59.319953600000005, 18.053455 59.319903000000004, 18.0537213 59.319822800000004)",Minor & Service,"LINESTRING (18.0526822 59.320137300000006, 18.0532215 59.319953600000005, 18.053455 59.319903000000004, 18.0537213 59.319822800000004)"
residential,Hornsbruksgatan,"LINESTRING (18.036780500000003 59.316312, 18.036952900000003 59.3163345, 18.0377851 59.3164433, 18.038533700000002 59.316540100000005, 18.0390243 59.316602, 18.0397638 59.316693300000004, 18.040319 59.3167589, 18.0405024 59.3167806)",Local & Neighborhood,"LINESTRING (18.036780500000003 59.316312, 18.036952900000003 59.3163345, 18.0377851 59.3164433, 18.038533700000002 59.316540100000005, 18.0390243 59.316602, 18.0397638 59.316693300000004, 18.040319 59.3167589, 18.0405024 59.3167806)"
service,Högalids Kyrkväg,"LINESTRING (18.038055200000002 59.3172682, 18.0380797 59.317376900000006, 18.0381331 59.3175165, 18.0382149 59.31759580000001, 18.038278000000002 59.317655800000004, 18.0383427 59.317706300000005, 18.0384101 59.3177445, 18.038561 59.3178168, 18.0388582 59.31789560000001, 18.0390468 59.3179395, 18.039175500000002 59.31797830000001, 18.0395754 59.3181091, 18.039790500000002 59.318272300000004)",Minor & Service,"LINESTRING (18.038055200000002 59.3172682, 18.0380797 59.317376900000006, 18.0381331 59.3175165, 18.0382149 59.31759580000001, 18.038278000000002 59.317655800000004, 18.0383427 59.317706300000005, 18.0384101 59.3177445, 18.038561 59.3178168, 18.0388582 59.31789560000001, 18.0390468 59.3179395, 18.039175500000002 59.31797830000001, 18.0395754 59.3181091, 18.039790500000002 59.318272300000004)"
residential,Sköldgatan,"LINESTRING (18.0561419 59.3127842, 18.0559997 59.3127781, 18.055498500000002 59.3126814)",Local & Neighborhood,"LINESTRING (18.0561419 59.3127842, 18.0559997 59.3127781, 18.055498500000002 59.3126814)"
residential,Lehusens Gränd,"LINESTRING (18.060249900000002 59.311790800000004, 18.0601181 59.3120641, 18.0600245 59.3122429)",Local & Neighborhood,"LINESTRING (18.060249900000002 59.311790800000004, 18.0601181 59.3120641, 18.0600245 59.3122429)"
residential,Tantogatan,"LINESTRING (18.0523141 59.311497700000004, 18.0520791 59.311471000000004, 18.0520029 59.3114611)",Local & Neighborhood,"LINESTRING (18.0523141 59.311497700000004, 18.0520791 59.311471000000004, 18.0520029 59.3114611)"
residential,Klippgatan,"LINESTRING (18.088287700000002 59.3140185, 18.088291100000003 59.314106200000005, 18.0882922 59.314134200000005)",Local & Neighborhood,"LINESTRING (18.088287700000002 59.3140185, 18.088291100000003 59.314106200000005, 18.0882922 59.314134200000005)"
residential,Timmermansgränd,"LINESTRING (18.0630399 59.312147200000005, 18.062874700000002 59.3124903, 18.062829400000002 59.312584400000006)",Local & Neighborhood,"LINESTRING (18.0630399 59.312147200000005, 18.062874700000002 59.3124903, 18.062829400000002 59.312584400000006)"
residential,Barnängsgatan,"LINESTRING (18.095393700000002 59.30995660000001, 18.0954526 59.3100145, 18.095756700000003 59.310575500000006)",Local & Neighborhood,"LINESTRING (18.095393700000002 59.30995660000001, 18.0954526 59.3100145, 18.095756700000003 59.310575500000006)"
residential,Klippgatan,"LINESTRING (18.0882606 59.3131301, 18.088286500000002 59.313210100000006, 18.0882866 59.313271900000004)",Local & Neighborhood,"LINESTRING (18.0882606 59.3131301, 18.088286500000002 59.313210100000006, 18.0882866 59.313271900000004)"
residential,Södermannagatan,"LINESTRING (18.0813001 59.3117979, 18.0812363 59.311922100000004)",Local & Neighborhood,"LINESTRING (18.0813001 59.3117979, 18.0812363 59.311922100000004)"
residential,Västgötagatan,"LINESTRING (18.07188 59.3116746, 18.071836400000002 59.3117607)",Local & Neighborhood,"LINESTRING (18.07188 59.3116746, 18.071836400000002 59.3117607)"
residential,Fatburs Kvarngata,"LINESTRING (18.058864500000002 59.312878700000006, 18.058796 59.31286540000001)",Local & Neighborhood,"LINESTRING (18.058864500000002 59.312878700000006, 18.058796 59.31286540000001)"
service,Noe Arksfaret,"LINESTRING (18.071573 59.3155592, 18.0714732 59.315532100000006, 18.071309900000003 59.3155031, 18.071246900000002 59.315484500000004, 18.0712149 59.3154654, 18.0712006 59.315445100000005, 18.0712061 59.315406200000005, 18.071388600000002 59.315072)",Minor & Service,"LINESTRING (18.071573 59.3155592, 18.0714732 59.315532100000006, 18.071309900000003 59.3155031, 18.071246900000002 59.315484500000004, 18.0712149 59.3154654, 18.0712006 59.315445100000005, 18.0712061 59.315406200000005, 18.071388600000002 59.315072)"
tertiary,Torkel Knutssonsgatan,"LINESTRING (18.057173300000002 59.3181621, 18.0571398 59.3182398)",Arterial & Major,"LINESTRING (18.057173300000002 59.3181621, 18.0571398 59.3182398)"
residential,Krukmakargatan,"LINESTRING (18.0602653 59.317848600000005, 18.0600937 59.3178271, 18.0574912 59.317501400000005)",Local & Neighborhood,"LINESTRING (18.0602653 59.317848600000005, 18.0600937 59.3178271, 18.0574912 59.317501400000005)"
residential,Östgötagatan,"LINESTRING (18.0783314 59.31081760000001, 18.0782567 59.31096530000001)",Local & Neighborhood,"LINESTRING (18.0783314 59.31081760000001, 18.0782567 59.31096530000001)"
residential,Södermannagatan,"LINESTRING (18.083656 59.3072875, 18.083619000000002 59.3073813)",Local & Neighborhood,"LINESTRING (18.083656 59.3072875, 18.083619000000002 59.3073813)"
residential,Hornsgatan,"LINESTRING (18.033308400000003 59.315216400000004, 18.031961300000003 59.315049800000004, 18.031897 59.315038, 18.0318446 59.315017100000006, 18.0316943 59.314915400000004, 18.031605900000002 59.3148503)",Local & Neighborhood,"LINESTRING (18.033308400000003 59.315216400000004, 18.031961300000003 59.315049800000004, 18.031897 59.315038, 18.0318446 59.315017100000006, 18.0316943 59.314915400000004, 18.031605900000002 59.3148503)"
residential,Ploggatan,"LINESTRING (18.091694200000003 59.3126498, 18.0917324 59.312668200000005, 18.091771400000003 59.3127021, 18.0917907 59.31273590000001)",Local & Neighborhood,"LINESTRING (18.091694200000003 59.3126498, 18.0917324 59.312668200000005, 18.091771400000003 59.3127021, 18.0917907 59.31273590000001)"
residential,Bondegatan,"LINESTRING (18.0922085 59.313467300000006, 18.092019200000003 59.3134924)",Local & Neighborhood,"LINESTRING (18.0922085 59.313467300000006, 18.092019200000003 59.3134924)"
residential,Ugglegränd,"LINESTRING (18.0635491 59.319991900000005, 18.0636583 59.319726300000006)",Local & Neighborhood,"LINESTRING (18.0635491 59.319991900000005, 18.0636583 59.319726300000006)"
residential,Södermannagatan,"LINESTRING (18.0828217 59.3088606, 18.082775400000003 59.3089397)",Local & Neighborhood,"LINESTRING (18.0828217 59.3088606, 18.082775400000003 59.3089397)"
residential,Klippgatan,"LINESTRING (18.088287400000002 59.31381450000001, 18.088287700000002 59.3140185)",Local & Neighborhood,"LINESTRING (18.088287400000002 59.31381450000001, 18.088287700000002 59.3140185)"
residential,Magnus Ladulåsgatan,"LINESTRING (18.0656556 59.312475500000005, 18.0654845 59.312449400000006, 18.064345 59.312308400000006)",Local & Neighborhood,"LINESTRING (18.0656556 59.312475500000005, 18.0654845 59.312449400000006, 18.064345 59.312308400000006)"
service,,"LINESTRING (18.0927765 59.3156941, 18.0924836 59.3156813, 18.0921007 59.315703000000006)",Minor & Service,"LINESTRING (18.0927765 59.3156941, 18.0924836 59.3156813, 18.0921007 59.315703000000006)"
residential,Tengdahlsgatan,"LINESTRING (18.0987794 59.3094801, 18.0986546 59.3094983)",Local & Neighborhood,"LINESTRING (18.0987794 59.3094801, 18.0986546 59.3094983)"
residential,Sandbacksgatan,"LINESTRING (18.0798749 59.316612400000004, 18.080102 59.316639)",Local & Neighborhood,"LINESTRING (18.0798749 59.316612400000004, 18.080102 59.316639)"
residential,Havregatan,"LINESTRING (18.069416500000003 59.3074409, 18.0693164 59.307232600000006)",Local & Neighborhood,"LINESTRING (18.069416500000003 59.3074409, 18.0693164 59.307232600000006)"
residential,Råggatan,"LINESTRING (18.0681875 59.307404700000006, 18.0683127 59.307613100000005)",Local & Neighborhood,"LINESTRING (18.0681875 59.307404700000006, 18.0683127 59.307613100000005)"
unclassified,Klockstapelsbacken,"LINESTRING (18.1035164 59.314210900000006, 18.103567 59.314221, 18.103611 59.314225500000006, 18.1040297 59.3142586)",Local & Neighborhood,"LINESTRING (18.1035164 59.314210900000006, 18.103567 59.314221, 18.103611 59.314225500000006, 18.1040297 59.3142586)"
service,Tegelviksplan,"LINESTRING (18.096553800000002 59.315778300000005, 18.0966154 59.315781300000005, 18.0967094 59.315774000000005, 18.0967393 59.3157706, 18.0968312 59.3157599)",Minor & Service,"LINESTRING (18.096553800000002 59.315778300000005, 18.0966154 59.315781300000005, 18.0967094 59.315774000000005, 18.0967393 59.3157706, 18.0968312 59.3157599)"
service,,"LINESTRING (18.094224800000003 59.316293300000005, 18.0941283 59.3163009, 18.0940157 59.316288500000006, 18.093976 59.3162542, 18.093954 59.3162352, 18.093626500000003 59.3158332, 18.0935543 59.315741, 18.0935543 59.315654800000004, 18.0936187 59.315545300000004, 18.093645000000002 59.3155015, 18.0936546 59.315487700000006, 18.0936643 59.315449900000004)",Minor & Service,"LINESTRING (18.094224800000003 59.316293300000005, 18.0941283 59.3163009, 18.0940157 59.316288500000006, 18.093976 59.3162542, 18.093954 59.3162352, 18.093626500000003 59.3158332, 18.0935543 59.315741, 18.0935543 59.315654800000004, 18.0936187 59.315545300000004, 18.093645000000002 59.3155015, 18.0936546 59.315487700000006, 18.0936643 59.315449900000004)"
service,,"LINESTRING (18.045473 59.3101599, 18.045451 59.310180800000005, 18.0454474 59.310208, 18.0454589 59.310237300000004, 18.045514 59.3102633, 18.0455846 59.3102815, 18.046027000000002 59.310267700000004)",Minor & Service,"LINESTRING (18.045473 59.3101599, 18.045451 59.310180800000005, 18.0454474 59.310208, 18.0454589 59.310237300000004, 18.045514 59.3102633, 18.0455846 59.3102815, 18.046027000000002 59.310267700000004)"
service,,"LINESTRING (18.0963038 59.315685, 18.096385400000003 59.315720500000005)",Minor & Service,"LINESTRING (18.0963038 59.315685, 18.096385400000003 59.315720500000005)"
service,,"LINESTRING (18.0595143 59.3113145, 18.0594298 59.3114951)",Minor & Service,"LINESTRING (18.0595143 59.3113145, 18.0594298 59.3114951)"
residential,Magnus Ladulåsgatan,"LINESTRING (18.0619744 59.31201050000001, 18.061772 59.3119852)",Local & Neighborhood,"LINESTRING (18.0619744 59.31201050000001, 18.061772 59.3119852)"
service,,"LINESTRING (18.0635102 59.309392100000004, 18.0636714 59.309346500000004, 18.0642245 59.309412800000004)",Minor & Service,"LINESTRING (18.0635102 59.309392100000004, 18.0636714 59.309346500000004, 18.0642245 59.309412800000004)"
residential,Tideliusgatan,"LINESTRING (18.0641939 59.3094691, 18.0643882 59.3094971)",Local & Neighborhood,"LINESTRING (18.0641939 59.3094691, 18.0643882 59.3094971)"
residential,Tideliusgränd,"LINESTRING (18.0636732 59.310974400000006, 18.064821300000002 59.311130000000006)",Local & Neighborhood,"LINESTRING (18.0636732 59.310974400000006, 18.064821300000002 59.311130000000006)"
residential,Tengdahlsgatan,"LINESTRING (18.0973112 59.309693, 18.0970266 59.30973350000001)",Local & Neighborhood,"LINESTRING (18.0973112 59.309693, 18.0970266 59.30973350000001)"
tertiary,Söder Mälarstrand,"LINESTRING (18.047981800000002 59.3208654, 18.046700700000002 59.320773200000005)",Arterial & Major,"LINESTRING (18.047981800000002 59.3208654, 18.046700700000002 59.320773200000005)"
residential,Rutger Fuchsgatan,"LINESTRING (18.078342300000003 59.307007500000005, 18.078241900000002 59.306877400000005)",Local & Neighborhood,"LINESTRING (18.078342300000003 59.307007500000005, 18.078241900000002 59.306877400000005)"
residential,Barnängsgatan,"LINESTRING (18.095184200000002 59.3095829, 18.095332900000002 59.3098819)",Local & Neighborhood,"LINESTRING (18.095184200000002 59.3095829, 18.095332900000002 59.3098819)"
residential,Fiskargatan,"LINESTRING (18.0766919 59.3178077, 18.076699100000003 59.317785400000005)",Local & Neighborhood,"LINESTRING (18.0766919 59.3178077, 18.076699100000003 59.317785400000005)"
residential,Fjällgatan,"LINESTRING (18.0839378 59.317423600000005, 18.0838262 59.3174283)",Local & Neighborhood,"LINESTRING (18.0839378 59.317423600000005, 18.0838262 59.3174283)"
residential,Tjärhovsgatan,"LINESTRING (18.0799209 59.3156449, 18.0796788 59.315612900000005)",Local & Neighborhood,"LINESTRING (18.0799209 59.3156449, 18.0796788 59.315612900000005)"
residential,Tjärhovsgatan,"LINESTRING (18.0808447 59.315767, 18.0801452 59.31567450000001)",Local & Neighborhood,"LINESTRING (18.0808447 59.315767, 18.0801452 59.31567450000001)"
residential,Skånegatan,"LINESTRING (18.0786275 59.3121373, 18.077998 59.312051200000006)",Local & Neighborhood,"LINESTRING (18.0786275 59.3121373, 18.077998 59.312051200000006)"
residential,Skånegatan,"LINESTRING (18.0759727 59.311759800000004, 18.076248800000002 59.311795200000006)",Local & Neighborhood,"LINESTRING (18.0759727 59.311759800000004, 18.076248800000002 59.311795200000006)"
residential,Gotlandsgatan,"LINESTRING (18.0827041 59.310480500000004, 18.083156300000002 59.3105416)",Local & Neighborhood,"LINESTRING (18.0827041 59.310480500000004, 18.083156300000002 59.3105416)"
residential,Södermannagatan,"LINESTRING (18.0823208 59.3098115, 18.0823442 59.309765500000005)",Local & Neighborhood,"LINESTRING (18.0823208 59.3098115, 18.0823442 59.309765500000005)"
residential,Malmgårdsvägen,"LINESTRING (18.086648 59.310785, 18.087127900000002 59.3105758)",Local & Neighborhood,"LINESTRING (18.086648 59.310785, 18.087127900000002 59.3105758)"
residential,Bondegatan,"LINESTRING (18.083614400000002 59.3134596, 18.0831985 59.313405)",Local & Neighborhood,"LINESTRING (18.083614400000002 59.3134596, 18.0831985 59.313405)"
residential,Erstagatan,"LINESTRING (18.0901894 59.3142482, 18.090193000000003 59.31420060000001)",Local & Neighborhood,"LINESTRING (18.0901894 59.3142482, 18.090193000000003 59.31420060000001)"
residential,Skånegatan,"LINESTRING (18.0909289 59.3127263, 18.0910197 59.312713)",Local & Neighborhood,"LINESTRING (18.0909289 59.3127263, 18.0910197 59.312713)"
residential,Heleneborgsgatan,"LINESTRING (18.0342659 59.3188985, 18.0336426 59.318841400000004)",Local & Neighborhood,"LINESTRING (18.0342659 59.3188985, 18.0336426 59.318841400000004)"
residential,Gotlandsgatan,"LINESTRING (18.0806268 59.31020530000001, 18.081580900000002 59.310330500000006)",Local & Neighborhood,"LINESTRING (18.0806268 59.31020530000001, 18.081580900000002 59.310330500000006)"
service,,"LINESTRING (18.0322168 59.316964000000006, 18.032081400000003 59.317245400000004, 18.0320423 59.3172725, 18.031975600000003 59.3172944, 18.031538700000002 59.3173085, 18.031263300000003 59.3173235, 18.0311379 59.3173279)",Minor & Service,"LINESTRING (18.0322168 59.316964000000006, 18.032081400000003 59.317245400000004, 18.0320423 59.3172725, 18.031975600000003 59.3172944, 18.031538700000002 59.3173085, 18.031263300000003 59.3173235, 18.0311379 59.3173279)"
service,,"LINESTRING (18.0425736 59.3185872, 18.042960700000002 59.3186363)",Minor & Service,"LINESTRING (18.0425736 59.3185872, 18.042960700000002 59.3186363)"
residential,Heleneborgsgatan,"LINESTRING (18.0384369 59.3192906, 18.0372193 59.3191738)",Local & Neighborhood,"LINESTRING (18.0384369 59.3192906, 18.0372193 59.3191738)"
tertiary,Skansbrogatan,"LINESTRING (18.078385100000002 59.305610300000005, 18.079099300000003 59.3045503)",Arterial & Major,"LINESTRING (18.078385100000002 59.305610300000005, 18.079099300000003 59.3045503)"
residential,Tjurbergsgatan,"LINESTRING (18.072442600000002 59.3106859, 18.0724439 59.3105964)",Local & Neighborhood,"LINESTRING (18.072442600000002 59.3106859, 18.0724439 59.3105964)"
service,,"LINESTRING (18.0833368 59.3169234, 18.083289100000002 59.316914700000005, 18.083145000000002 59.3168931)",Minor & Service,"LINESTRING (18.0833368 59.3169234, 18.083289100000002 59.316914700000005, 18.083145000000002 59.3168931)"
residential,Hökens Gata,"LINESTRING (18.073427300000002 59.318154500000006, 18.0732886 59.318135700000006)",Local & Neighborhood,"LINESTRING (18.073427300000002 59.318154500000006, 18.0732886 59.318135700000006)"
residential,Hennings Gata,"LINESTRING (18.0976733 59.3119528, 18.0980342 59.312658600000006)",Local & Neighborhood,"LINESTRING (18.0976733 59.3119528, 18.0980342 59.312658600000006)"
service,,"LINESTRING (18.0955723 59.30864570000001, 18.0958583 59.30928900000001)",Minor & Service,"LINESTRING (18.0955723 59.30864570000001, 18.0958583 59.30928900000001)"
service,,"LINESTRING (18.0701503 59.318599400000004, 18.070180500000003 59.3185324)",Minor & Service,"LINESTRING (18.0701503 59.318599400000004, 18.070180500000003 59.3185324)"
service,,"LINESTRING (18.064241300000003 59.3125177, 18.064278700000003 59.312441500000006)",Minor & Service,"LINESTRING (18.064241300000003 59.3125177, 18.064278700000003 59.312441500000006)"
tertiary,Pålsundsbacken,"LINESTRING (18.0331896 59.319455500000004, 18.0331738 59.319521800000004, 18.033155 59.3195751)",Arterial & Major,"LINESTRING (18.0331896 59.319455500000004, 18.0331738 59.319521800000004, 18.033155 59.3195751)"
tertiary,Torkel Knutssonsgatan,"LINESTRING (18.0566874 59.3189338, 18.056493 59.319241600000005, 18.056405100000003 59.31939010000001, 18.056368600000003 59.3194668, 18.056343000000002 59.319541900000004, 18.056317500000002 59.3196505, 18.0563143 59.3197538)",Arterial & Major,"LINESTRING (18.0566874 59.3189338, 18.056493 59.319241600000005, 18.056405100000003 59.31939010000001, 18.056368600000003 59.3194668, 18.056343000000002 59.319541900000004, 18.056317500000002 59.3196505, 18.0563143 59.3197538)"
residential,Rosenlundsgatan,"LINESTRING (18.0568251 59.314530000000005, 18.0568831 59.3144192, 18.056906700000003 59.3143691)",Local & Neighborhood,"LINESTRING (18.0568251 59.314530000000005, 18.0568831 59.3144192, 18.056906700000003 59.3143691)"
residential,Timmermansgatan,"LINESTRING (18.061581 59.31515460000001, 18.061309100000003 59.315726600000005, 18.0612555 59.3158395)",Local & Neighborhood,"LINESTRING (18.061581 59.31515460000001, 18.061309100000003 59.315726600000005, 18.0612555 59.3158395)"
residential,Timmermansgatan,"LINESTRING (18.0609067 59.31654270000001, 18.060859 59.3166407, 18.0605797 59.3171874, 18.060549 59.3172475)",Local & Neighborhood,"LINESTRING (18.0609067 59.31654270000001, 18.060859 59.3166407, 18.0605797 59.3171874, 18.060549 59.3172475)"
living_street,Sockerbruksgränd,"LINESTRING (18.0468619 59.30956690000001, 18.047005900000002 59.309604400000005, 18.0473091 59.309602700000006)",Pedestrian & Slow Zones,"LINESTRING (18.0468619 59.30956690000001, 18.047005900000002 59.309604400000005, 18.0473091 59.309602700000006)"
