highway,name,wkt_geom,category,geometry
tertiary,Folkungagatan,"LINESTRING (18.0783689 59.3147967, 18.0785372 59.314818100000004)",Arterial & Major,"LINESTRING (18.0783689 59.3147967, 18.0785372 59.314818100000004)"
tertiary,Folkungagatan,"LINESTRING (18.083231700000002 59.31548540000001, 18.0830236 59.315458500000005)",Arterial & Major,"LINESTRING (18.083231700000002 59.31548540000001, 18.0830236 59.315458500000005)"
tertiary,Folkungagatan,"LINESTRING (18.082893300000002 59.3154417, 18.0827165 59.315418900000004, 18.0826935 59.315415900000005)",Arterial & Major,"LINESTRING (18.082893300000002 59.3154417, 18.0827165 59.315418900000004, 18.0826935 59.315415900000005)"
residential,Åsögatan,"LINESTRING (18.085194400000002 59.31438910000001, 18.085696600000002 59.314453300000004)",Local & Neighborhood,"LINESTRING (18.085194400000002 59.31438910000001, 18.085696600000002 59.314453300000004)"
residential,Åsögatan,"LINESTRING (18.079693300000002 59.313664200000005, 18.079472300000003 59.313634300000004)",Local & Neighborhood,"LINESTRING (18.079693300000002 59.313664200000005, 18.079472300000003 59.313634300000004)"
residential,Stigbergsgatan,"LINESTRING (18.085925200000002 59.316821000000004, 18.0858354 59.3168263)",Local & Neighborhood,"LINESTRING (18.085925200000002 59.316821000000004, 18.0858354 59.3168263)"
residential,Åsögatan,"LINESTRING (18.075144 59.313056200000005, 18.0750636 59.3130457)",Local & Neighborhood,"LINESTRING (18.075144 59.313056200000005, 18.0750636 59.3130457)"
residential,Åsögatan,"LINESTRING (18.0769093 59.3132882, 18.0754428 59.3130955)",Local & Neighborhood,"LINESTRING (18.0769093 59.3132882, 18.0754428 59.3130955)"
residential,Östgötagatan,"LINESTRING (18.0776685 59.3121567, 18.077607500000003 59.312282200000006)",Local & Neighborhood,"LINESTRING (18.0776685 59.3121567, 18.077607500000003 59.312282200000006)"
residential,Bondegatan,"LINESTRING (18.0816222 59.313213700000006, 18.081724400000002 59.31322660000001)",Local & Neighborhood,"LINESTRING (18.0816222 59.313213700000006, 18.081724400000002 59.31322660000001)"
residential,Ringvägen,"LINESTRING (18.079270400000002 59.3082823, 18.078242200000002 59.3081455)",Local & Neighborhood,"LINESTRING (18.079270400000002 59.3082823, 18.078242200000002 59.3081455)"
residential,Gotlandsgatan,"LINESTRING (18.081855400000002 59.310366300000005, 18.0816701 59.3103422)",Local & Neighborhood,"LINESTRING (18.081855400000002 59.310366300000005, 18.0816701 59.3103422)"
residential,Närkesgatan,"LINESTRING (18.0822055 59.3120489, 18.082447900000002 59.3120806)",Local & Neighborhood,"LINESTRING (18.0822055 59.3120489, 18.082447900000002 59.3120806)"
residential,Åsögatan,"LINESTRING (18.0897688 59.31459950000001, 18.089886200000002 59.3145948)",Local & Neighborhood,"LINESTRING (18.0897688 59.31459950000001, 18.089886200000002 59.3145948)"
residential,Bjurholmsplan,"LINESTRING (18.0802528 59.3091961, 18.0802616 59.309178100000004)",Local & Neighborhood,"LINESTRING (18.0802528 59.3091961, 18.0802616 59.309178100000004)"
residential,Gotlandsgatan,"LINESTRING (18.0775103 59.3098097, 18.0773774 59.3097932)",Local & Neighborhood,"LINESTRING (18.0775103 59.3098097, 18.0773774 59.3097932)"
residential,Skånegatan,"LINESTRING (18.090816 59.3127427, 18.0905907 59.3127756)",Local & Neighborhood,"LINESTRING (18.090816 59.3127427, 18.0905907 59.3127756)"
residential,Skånegatan,"LINESTRING (18.0891148 59.3130073, 18.089319200000002 59.312978)",Local & Neighborhood,"LINESTRING (18.0891148 59.3130073, 18.089319200000002 59.312978)"
residential,Klippgatan,"LINESTRING (18.0882957 59.31422310000001, 18.0882922 59.314134200000005)",Local & Neighborhood,"LINESTRING (18.0882957 59.31422310000001, 18.0882922 59.314134200000005)"
residential,Borgmästargatan,"LINESTRING (18.086645400000002 59.314015600000005, 18.086561200000002 59.31421280000001)",Local & Neighborhood,"LINESTRING (18.086645400000002 59.314015600000005, 18.086561200000002 59.31421280000001)"
residential,Bondegatan,"LINESTRING (18.085332 59.3136828, 18.085388000000002 59.31368990000001)",Local & Neighborhood,"LINESTRING (18.085332 59.3136828, 18.085388000000002 59.31368990000001)"
residential,Bondegatan,"LINESTRING (18.0857953 59.3137435, 18.086448700000002 59.3138282)",Local & Neighborhood,"LINESTRING (18.0857953 59.3137435, 18.086448700000002 59.3138282)"
residential,Erstagatan,"LINESTRING (18.090249 59.3135387, 18.090241000000002 59.31361630000001)",Local & Neighborhood,"LINESTRING (18.090249 59.3135387, 18.090241000000002 59.31361630000001)"
residential,Ringvägen,"LINESTRING (18.0626423 59.308995100000004, 18.0627342 59.308967800000005)",Local & Neighborhood,"LINESTRING (18.0626423 59.308995100000004, 18.0627342 59.308967800000005)"
residential,Högbergsgatan,"LINESTRING (18.0741462 59.3168018, 18.0741881 59.316807100000005)",Local & Neighborhood,"LINESTRING (18.0741462 59.3168018, 18.0741881 59.316807100000005)"
residential,Östgötagatan,"LINESTRING (18.0775337 59.312434200000006, 18.0774724 59.312560500000004)",Local & Neighborhood,"LINESTRING (18.0775337 59.312434200000006, 18.0774724 59.312560500000004)"
residential,Katarina Bangata,"LINESTRING (18.0793183 59.311614500000005, 18.0791331 59.311639500000005)",Local & Neighborhood,"LINESTRING (18.0793183 59.311614500000005, 18.0791331 59.311639500000005)"
residential,Erstagatan,"LINESTRING (18.089806900000003 59.3162226, 18.089770700000003 59.3163472)",Local & Neighborhood,"LINESTRING (18.089806900000003 59.3162226, 18.089770700000003 59.3163472)"
service,,"LINESTRING (18.031242300000002 59.316594900000005, 18.0310424 59.316568100000005, 18.0311203 59.316434900000004, 18.0311126 59.3163981, 18.0310913 59.3163746, 18.031009700000002 59.3163715, 18.0309107 59.3164207, 18.0307694 59.316535800000004, 18.030717900000003 59.3165951, 18.030643700000002 59.316743100000004, 18.030551300000003 59.316961400000004, 18.030555 59.3170245, 18.0305554 59.3170304, 18.030624800000002 59.317181500000004, 18.0307609 59.3172779, 18.0311379 59.3173279)",Minor & Service,"LINESTRING (18.031242300000002 59.316594900000005, 18.0310424 59.316568100000005, 18.0311203 59.316434900000004, 18.0311126 59.3163981, 18.0310913 59.3163746, 18.031009700000002 59.3163715, 18.0309107 59.3164207, 18.0307694 59.316535800000004, 18.030717900000003 59.3165951, 18.030643700000002 59.316743100000004, 18.030551300000003 59.316961400000004, 18.030555 59.3170245, 18.0305554 59.3170304, 18.030624800000002 59.317181500000004, 18.0307609 59.3172779, 18.0311379 59.3173279)"
residential,Gaveliusgatan,"LINESTRING (18.0933719 59.3095307, 18.093746200000002 59.3094771)",Local & Neighborhood,"LINESTRING (18.0933719 59.3095307, 18.093746200000002 59.3094771)"
service,,"LINESTRING (18.0543883 59.319680500000004, 18.055065300000003 59.319677000000006, 18.055268100000003 59.319676)",Minor & Service,"LINESTRING (18.0543883 59.319680500000004, 18.055065300000003 59.319677000000006, 18.055268100000003 59.319676)"
service,,"LINESTRING (18.0884609 59.316934100000005, 18.0886389 59.316934100000005)",Minor & Service,"LINESTRING (18.0884609 59.316934100000005, 18.0886389 59.316934100000005)"
service,,"LINESTRING (18.0753506 59.3167745, 18.0752589 59.316762600000004)",Minor & Service,"LINESTRING (18.0753506 59.3167745, 18.0752589 59.316762600000004)"
